"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","516","Create user","LMS service","Sun Jun 22 23:18:09 GMT 2025","passed","Sun Jun 22 23:18:10 GMT 2025","Create entity","Users","",""
"","283","Login with correct email and password","LMS service","Sun Jun 22 23:18:01 GMT 2025","passed","Sun Jun 22 23:18:01 GMT 2025","Login","Authentication","",""
"","15","Get courses","LMS service","Sun Jun 22 23:18:03 GMT 2025","passed","Sun Jun 22 23:18:03 GMT 2025","Get entities","Courses","",""
"","305","Update course","LMS service","Sun Jun 22 23:18:02 GMT 2025","passed","Sun Jun 22 23:18:02 GMT 2025","Update entity","Courses","",""
"","266","Get file with incorrect file id","LMS service","Sun Jun 22 23:18:09 GMT 2025","passed","Sun Jun 22 23:18:10 GMT 2025","Validate entity","Files","",""
"","22","Get exercise","LMS service","Sun Jun 22 23:18:05 GMT 2025","passed","Sun Jun 22 23:18:05 GMT 2025","Get entity","Exercises","",""
"","11","Get user me","LMS service","Sun Jun 22 23:18:11 GMT 2025","passed","Sun Jun 22 23:18:11 GMT 2025","Get entity","Users","",""
"","260","Create file with empty directory","LMS service","Sun Jun 22 23:18:08 GMT 2025","passed","Sun Jun 22 23:18:09 GMT 2025","Validate entity","Files","",""
"","257","Create file","LMS service","Sun Jun 22 23:18:07 GMT 2025","passed","Sun Jun 22 23:18:07 GMT 2025","Create entity","Files","",""
"","30","Delete file","LMS service","Sun Jun 22 23:18:09 GMT 2025","passed","Sun Jun 22 23:18:09 GMT 2025","Delete entity","Files","",""
"","263","Create file with empty filename","LMS service","Sun Jun 22 23:18:08 GMT 2025","passed","Sun Jun 22 23:18:08 GMT 2025","Validate entity","Files","",""
"","17","Get exercises","LMS service","Sun Jun 22 23:18:06 GMT 2025","passed","Sun Jun 22 23:18:06 GMT 2025","Get entities","Exercises","",""
"","290","Update exercise","LMS service","Sun Jun 22 23:18:04 GMT 2025","passed","Sun Jun 22 23:18:05 GMT 2025","Update entity","Exercises","",""
"","557","Create user","LMS service","Sun Jun 22 23:18:10 GMT 2025","passed","Sun Jun 22 23:18:10 GMT 2025","Create entity","Users","",""
"","15","Get file","LMS service","Sun Jun 22 23:18:07 GMT 2025","passed","Sun Jun 22 23:18:07 GMT 2025","Get entity","Files","",""
"","290","Create exercise","LMS service","Sun Jun 22 23:18:04 GMT 2025","passed","Sun Jun 22 23:18:04 GMT 2025","Create entity","Exercises","",""
"","297","Create course","LMS service","Sun Jun 22 23:18:03 GMT 2025","passed","Sun Jun 22 23:18:03 GMT 2025","Create entity","Courses","",""
"","289","Delete exercise","LMS service","Sun Jun 22 23:18:06 GMT 2025","passed","Sun Jun 22 23:18:06 GMT 2025","Delete entity","Exercises","",""
"","289","Create user","LMS service","Sun Jun 22 23:18:10 GMT 2025","passed","Sun Jun 22 23:18:10 GMT 2025","Create entity","Users","",""
