"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","554","Create user","LMS service","Sat Jun 21 19:50:36 GMT 2025","passed","Sat Jun 21 19:50:37 GMT 2025","Create entity","Users","",""
"","291","Create exercise","LMS service","Sat Jun 21 19:50:30 GMT 2025","passed","Sat Jun 21 19:50:30 GMT 2025","Create entity","Exercises","",""
"","16","Get exercises","LMS service","Sat Jun 21 19:50:33 GMT 2025","passed","Sat Jun 21 19:50:33 GMT 2025","Get entities","Exercises","",""
"","265","Create file with empty directory","LMS service","Sat Jun 21 19:50:35 GMT 2025","passed","Sat Jun 21 19:50:35 GMT 2025","Validate entity","Files","",""
"","20","Update exercise","LMS service","Sat Jun 21 19:50:31 GMT 2025","passed","Sat Jun 21 19:50:31 GMT 2025","Update entity","Exercises","",""
"","532","Create user","LMS service","Sat Jun 21 19:50:36 GMT 2025","passed","Sat Jun 21 19:50:36 GMT 2025","Create entity","Users","",""
"","261","Get file with incorrect file id","LMS service","Sat Jun 21 19:50:36 GMT 2025","passed","Sat Jun 21 19:50:36 GMT 2025","Validate entity","Files","",""
"","262","Create file","LMS service","Sat Jun 21 19:50:33 GMT 2025","passed","Sat Jun 21 19:50:33 GMT 2025","Create entity","Files","",""
"","289","Get exercise","LMS service","Sat Jun 21 19:50:31 GMT 2025","passed","Sat Jun 21 19:50:31 GMT 2025","Get entity","Exercises","",""
"","284","Login with correct email and password","LMS service","Sat Jun 21 19:50:27 GMT 2025","passed","Sat Jun 21 19:50:28 GMT 2025","Login","Authentication","",""
"","286","Create user","LMS service","Sat Jun 21 19:50:36 GMT 2025","passed","Sat Jun 21 19:50:36 GMT 2025","Create entity","Users","",""
"","12","Get user me","LMS service","Sat Jun 21 19:50:37 GMT 2025","passed","Sat Jun 21 19:50:37 GMT 2025","Get entity","Users","",""
"","14","Get file","LMS service","Sat Jun 21 19:50:34 GMT 2025","passed","Sat Jun 21 19:50:34 GMT 2025","Get entity","Files","",""
"","26","Delete file","LMS service","Sat Jun 21 19:50:36 GMT 2025","passed","Sat Jun 21 19:50:36 GMT 2025","Delete entity","Files","",""
"","260","Create file with empty filename","LMS service","Sat Jun 21 19:50:34 GMT 2025","passed","Sat Jun 21 19:50:34 GMT 2025","Validate entity","Files","",""
"","296","Create course","LMS service","Sat Jun 21 19:50:30 GMT 2025","passed","Sat Jun 21 19:50:30 GMT 2025","Create entity","Courses","",""
"","300","Update course","LMS service","Sat Jun 21 19:50:28 GMT 2025","passed","Sat Jun 21 19:50:29 GMT 2025","Update entity","Courses","",""
"","287","Get courses","LMS service","Sat Jun 21 19:50:29 GMT 2025","passed","Sat Jun 21 19:50:29 GMT 2025","Get entities","Courses","",""
"","288","Delete exercise","LMS service","Sat Jun 21 19:50:32 GMT 2025","passed","Sat Jun 21 19:50:32 GMT 2025","Delete entity","Exercises","",""
