"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","288","Delete exercise","LMS service","Sat Jun 21 19:58:37 GMT 2025","passed","Sat Jun 21 19:58:38 GMT 2025","Delete entity","Exercises","",""
"","533","Create user","LMS service","Sat Jun 21 19:58:41 GMT 2025","passed","Sat Jun 21 19:58:42 GMT 2025","Create entity","Users","",""
"","15","Get exercises","LMS service","Sat Jun 21 19:58:38 GMT 2025","passed","Sat Jun 21 19:58:38 GMT 2025","Get entities","Exercises","",""
"","12","Get user me","LMS service","Sat Jun 21 19:58:43 GMT 2025","passed","Sat Jun 21 19:58:43 GMT 2025","Get entity","Users","",""
"","14","Get courses","LMS service","Sat Jun 21 19:58:35 GMT 2025","passed","Sat Jun 21 19:58:35 GMT 2025","Get entities","Courses","",""
"","258","Get file with incorrect file id","LMS service","Sat Jun 21 19:58:41 GMT 2025","passed","Sat Jun 21 19:58:42 GMT 2025","Validate entity","Files","",""
"","260","Create file with empty filename","LMS service","Sat Jun 21 19:58:40 GMT 2025","passed","Sat Jun 21 19:58:40 GMT 2025","Validate entity","Files","",""
"","25","Delete file","LMS service","Sat Jun 21 19:58:41 GMT 2025","passed","Sat Jun 21 19:58:41 GMT 2025","Delete entity","Files","",""
"","552","Login with correct email and password","LMS service","Sat Jun 21 19:58:33 GMT 2025","passed","Sat Jun 21 19:58:34 GMT 2025","Login","Authentication","",""
"","21","Create exercise","LMS service","Sat Jun 21 19:58:36 GMT 2025","passed","Sat Jun 21 19:58:36 GMT 2025","Create entity","Exercises","",""
"","12","Get file","LMS service","Sat Jun 21 19:58:39 GMT 2025","passed","Sat Jun 21 19:58:39 GMT 2025","Get entity","Files","",""
"","287","Update exercise","LMS service","Sat Jun 21 19:58:36 GMT 2025","passed","Sat Jun 21 19:58:37 GMT 2025","Update entity","Exercises","",""
"","263","Create file with empty directory","LMS service","Sat Jun 21 19:58:40 GMT 2025","passed","Sat Jun 21 19:58:40 GMT 2025","Validate entity","Files","",""
"","266","Create file","LMS service","Sat Jun 21 19:58:38 GMT 2025","passed","Sat Jun 21 19:58:39 GMT 2025","Create entity","Files","",""
"","27","Create course","LMS service","Sat Jun 21 19:58:35 GMT 2025","passed","Sat Jun 21 19:58:35 GMT 2025","Create entity","Courses","",""
"","304","Update course","LMS service","Sat Jun 21 19:58:34 GMT 2025","passed","Sat Jun 21 19:58:34 GMT 2025","Update entity","Courses","",""
"","559","Create user","LMS service","Sat Jun 21 19:58:42 GMT 2025","passed","Sat Jun 21 19:58:42 GMT 2025","Create entity","Users","",""
"","289","Create user","LMS service","Sat Jun 21 19:58:42 GMT 2025","passed","Sat Jun 21 19:58:42 GMT 2025","Create entity","Users","",""
"","18","Get exercise","LMS service","Sat Jun 21 19:58:37 GMT 2025","passed","Sat Jun 21 19:58:37 GMT 2025","Get entity","Exercises","",""
