"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","286","Login with correct email and password","LMS service","Sat Jun 21 21:17:04 GMT 2025","passed","Sat Jun 21 21:17:04 GMT 2025","Login","Authentication","",""
"","263","Create file with empty directory","LMS service","Sat Jun 21 21:17:11 GMT 2025","passed","Sat Jun 21 21:17:11 GMT 2025","Validate entity","Files","",""
"","288","Delete exercise","LMS service","Sat Jun 21 21:17:08 GMT 2025","passed","Sat Jun 21 21:17:09 GMT 2025","Delete entity","Exercises","",""
"","259","Create file","LMS service","Sat Jun 21 21:17:09 GMT 2025","passed","Sat Jun 21 21:17:09 GMT 2025","Create entity","Files","",""
"","287","Get courses","LMS service","Sat Jun 21 21:17:05 GMT 2025","passed","Sat Jun 21 21:17:05 GMT 2025","Get entities","Courses","",""
"","12","Get user me","LMS service","Sat Jun 21 21:17:14 GMT 2025","passed","Sat Jun 21 21:17:14 GMT 2025","Get entity","Users","",""
"","559","Create user","LMS service","Sat Jun 21 21:17:12 GMT 2025","passed","Sat Jun 21 21:17:13 GMT 2025","Create entity","Users","",""
"","289","Update exercise","LMS service","Sat Jun 21 21:17:07 GMT 2025","passed","Sat Jun 21 21:17:07 GMT 2025","Update entity","Exercises","",""
"","22","Create exercise","LMS service","Sat Jun 21 21:17:06 GMT 2025","passed","Sat Jun 21 21:17:06 GMT 2025","Create entity","Exercises","",""
"","19","Get exercise","LMS service","Sat Jun 21 21:17:08 GMT 2025","passed","Sat Jun 21 21:17:08 GMT 2025","Get entity","Exercises","",""
"","13","Get file","LMS service","Sat Jun 21 21:17:10 GMT 2025","passed","Sat Jun 21 21:17:10 GMT 2025","Get entity","Files","",""
"","288","Create user","LMS service","Sat Jun 21 21:17:12 GMT 2025","passed","Sat Jun 21 21:17:13 GMT 2025","Create entity","Users","",""
"","267","Create file with empty filename","LMS service","Sat Jun 21 21:17:10 GMT 2025","passed","Sat Jun 21 21:17:11 GMT 2025","Validate entity","Files","",""
"","305","Update course","LMS service","Sat Jun 21 21:17:05 GMT 2025","passed","Sat Jun 21 21:17:05 GMT 2025","Update entity","Courses","",""
"","27","Create course","LMS service","Sat Jun 21 21:17:06 GMT 2025","passed","Sat Jun 21 21:17:06 GMT 2025","Create entity","Courses","",""
"","253","Get file with incorrect file id","LMS service","Sat Jun 21 21:17:12 GMT 2025","passed","Sat Jun 21 21:17:12 GMT 2025","Validate entity","Files","",""
"","28","Delete file","LMS service","Sat Jun 21 21:17:12 GMT 2025","passed","Sat Jun 21 21:17:12 GMT 2025","Delete entity","Files","",""
"","18","Get exercises","LMS service","Sat Jun 21 21:17:09 GMT 2025","passed","Sat Jun 21 21:17:09 GMT 2025","Get entities","Exercises","",""
"","528","Create user","LMS service","Sat Jun 21 21:17:12 GMT 2025","passed","Sat Jun 21 21:17:12 GMT 2025","Create entity","Users","",""
