"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","264","Create file with empty filename","LMS service","Sun Jun 22 22:47:35 GMT 2025","passed","Sun Jun 22 22:47:35 GMT 2025","Validate entity","Files","",""
"","550","Create user","LMS service","Sun Jun 22 22:47:37 GMT 2025","passed","Sun Jun 22 22:47:38 GMT 2025","Create entity","Users","",""
"","21","Create exercise","LMS service","Sun Jun 22 22:47:31 GMT 2025","passed","Sun Jun 22 22:47:31 GMT 2025","Create entity","Exercises","",""
"","14","Get exercises","LMS service","Sun Jun 22 22:47:34 GMT 2025","passed","Sun Jun 22 22:47:34 GMT 2025","Get entities","Exercises","",""
"","279","Delete exercise","LMS service","Sun Jun 22 22:47:33 GMT 2025","passed","Sun Jun 22 22:47:33 GMT 2025","Delete entity","Exercises","",""
"","263","Get file with incorrect file id","LMS service","Sun Jun 22 22:47:37 GMT 2025","passed","Sun Jun 22 22:47:37 GMT 2025","Validate entity","Files","",""
"","283","Update exercise","LMS service","Sun Jun 22 22:47:32 GMT 2025","passed","Sun Jun 22 22:47:32 GMT 2025","Update entity","Exercises","",""
"","26","Create course","LMS service","Sun Jun 22 22:47:31 GMT 2025","passed","Sun Jun 22 22:47:31 GMT 2025","Create entity","Courses","",""
"","27","Delete file","LMS service","Sun Jun 22 22:47:37 GMT 2025","passed","Sun Jun 22 22:47:37 GMT 2025","Delete entity","Files","",""
"","263","Create file","LMS service","Sun Jun 22 22:47:34 GMT 2025","passed","Sun Jun 22 22:47:34 GMT 2025","Create entity","Files","",""
"","256","Create file with empty directory","LMS service","Sun Jun 22 22:47:36 GMT 2025","passed","Sun Jun 22 22:47:36 GMT 2025","Validate entity","Files","",""
"","11","Get user me","LMS service","Sun Jun 22 22:47:38 GMT 2025","passed","Sun Jun 22 22:47:38 GMT 2025","Get entity","Users","",""
"","21","Get exercise","LMS service","Sun Jun 22 22:47:32 GMT 2025","passed","Sun Jun 22 22:47:32 GMT 2025","Get entity","Exercises","",""
"","13","Get file","LMS service","Sun Jun 22 22:47:35 GMT 2025","passed","Sun Jun 22 22:47:35 GMT 2025","Get entity","Files","",""
"","284","Login with correct email and password","LMS service","Sun Jun 22 22:47:29 GMT 2025","passed","Sun Jun 22 22:47:29 GMT 2025","Login","Authentication","",""
"","285","Create user","LMS service","Sun Jun 22 22:47:37 GMT 2025","passed","Sun Jun 22 22:47:37 GMT 2025","Create entity","Users","",""
"","519","Create user","LMS service","Sun Jun 22 22:47:37 GMT 2025","passed","Sun Jun 22 22:47:37 GMT 2025","Create entity","Users","",""
"","15","Get courses","LMS service","Sun Jun 22 22:47:30 GMT 2025","passed","Sun Jun 22 22:47:30 GMT 2025","Get entities","Courses","",""
"","305","Update course","LMS service","Sun Jun 22 22:47:29 GMT 2025","passed","Sun Jun 22 22:47:30 GMT 2025","Update entity","Courses","",""
