"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","267","Create file with empty filename","LMS service","Sat Jun 21 20:03:32 GMT 2025","passed","Sat Jun 21 20:03:33 GMT 2025","Validate entity","Files","",""
"","303","Update course","LMS service","Sat Jun 21 20:03:26 GMT 2025","passed","Sat Jun 21 20:03:27 GMT 2025","Update entity","Courses","",""
"","12","Get user me","LMS service","Sat Jun 21 20:03:36 GMT 2025","passed","Sat Jun 21 20:03:36 GMT 2025","Get entity","Users","",""
"","16","Get exercises","LMS service","Sat Jun 21 20:03:31 GMT 2025","passed","Sat Jun 21 20:03:31 GMT 2025","Get entities","Exercises","",""
"","549","Login with correct email and password","LMS service","Sat Jun 21 20:03:26 GMT 2025","passed","Sat Jun 21 20:03:26 GMT 2025","Login","Authentication","",""
"","15","Get courses","LMS service","Sat Jun 21 20:03:27 GMT 2025","passed","Sat Jun 21 20:03:27 GMT 2025","Get entities","Courses","",""
"","288","Create user","LMS service","Sat Jun 21 20:03:34 GMT 2025","passed","Sat Jun 21 20:03:35 GMT 2025","Create entity","Users","",""
"","255","Get file with incorrect file id","LMS service","Sat Jun 21 20:03:34 GMT 2025","passed","Sat Jun 21 20:03:34 GMT 2025","Validate entity","Files","",""
"","23","Create exercise","LMS service","Sat Jun 21 20:03:29 GMT 2025","passed","Sat Jun 21 20:03:29 GMT 2025","Create entity","Exercises","",""
"","260","Create file with empty directory","LMS service","Sat Jun 21 20:03:33 GMT 2025","passed","Sat Jun 21 20:03:33 GMT 2025","Validate entity","Files","",""
"","32","Create course","LMS service","Sat Jun 21 20:03:28 GMT 2025","passed","Sat Jun 21 20:03:28 GMT 2025","Create entity","Courses","",""
"","288","Delete exercise","LMS service","Sat Jun 21 20:03:30 GMT 2025","passed","Sat Jun 21 20:03:31 GMT 2025","Delete entity","Exercises","",""
"","19","Get exercise","LMS service","Sat Jun 21 20:03:30 GMT 2025","passed","Sat Jun 21 20:03:30 GMT 2025","Get entity","Exercises","",""
"","533","Create user","LMS service","Sat Jun 21 20:03:34 GMT 2025","passed","Sat Jun 21 20:03:34 GMT 2025","Create entity","Users","",""
"","260","Create file","LMS service","Sat Jun 21 20:03:31 GMT 2025","passed","Sat Jun 21 20:03:32 GMT 2025","Create entity","Files","",""
"","14","Get file","LMS service","Sat Jun 21 20:03:32 GMT 2025","passed","Sat Jun 21 20:03:32 GMT 2025","Get entity","Files","",""
"","25","Delete file","LMS service","Sat Jun 21 20:03:34 GMT 2025","passed","Sat Jun 21 20:03:34 GMT 2025","Delete entity","Files","",""
"","555","Create user","LMS service","Sat Jun 21 20:03:35 GMT 2025","passed","Sat Jun 21 20:03:35 GMT 2025","Create entity","Users","",""
"","288","Update exercise","LMS service","Sat Jun 21 20:03:29 GMT 2025","passed","Sat Jun 21 20:03:29 GMT 2025","Update entity","Exercises","",""
