"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","549","Create user","LMS service","Sun Jun 22 10:54:16 GMT 2025","passed","Sun Jun 22 10:54:17 GMT 2025","Create entity","Users","",""
"","298","Create course","LMS service","Sun Jun 22 10:54:10 GMT 2025","passed","Sun Jun 22 10:54:10 GMT 2025","Create entity","Courses","",""
"","288","Delete exercise","LMS service","Sun Jun 22 10:54:12 GMT 2025","passed","Sun Jun 22 10:54:13 GMT 2025","Delete entity","Exercises","",""
"","266","Create file","LMS service","Sun Jun 22 10:54:13 GMT 2025","passed","Sun Jun 22 10:54:14 GMT 2025","Create entity","Files","",""
"","285","Create user","LMS service","Sun Jun 22 10:54:16 GMT 2025","passed","Sun Jun 22 10:54:17 GMT 2025","Create entity","Users","",""
"","258","Create file with empty directory","LMS service","Sun Jun 22 10:54:15 GMT 2025","passed","Sun Jun 22 10:54:15 GMT 2025","Validate entity","Files","",""
"","286","Get courses","LMS service","Sun Jun 22 10:54:09 GMT 2025","passed","Sun Jun 22 10:54:09 GMT 2025","Get entities","Courses","",""
"","288","Update exercise","LMS service","Sun Jun 22 10:54:11 GMT 2025","passed","Sun Jun 22 10:54:11 GMT 2025","Update entity","Exercises","",""
"","300","Update course","LMS service","Sun Jun 22 10:54:09 GMT 2025","passed","Sun Jun 22 10:54:09 GMT 2025","Update entity","Courses","",""
"","13","Get file","LMS service","Sun Jun 22 10:54:14 GMT 2025","passed","Sun Jun 22 10:54:14 GMT 2025","Get entity","Files","",""
"","258","Get file with incorrect file id","LMS service","Sun Jun 22 10:54:16 GMT 2025","passed","Sun Jun 22 10:54:16 GMT 2025","Validate entity","Files","",""
"","266","Create file with empty filename","LMS service","Sun Jun 22 10:54:14 GMT 2025","passed","Sun Jun 22 10:54:15 GMT 2025","Validate entity","Files","",""
"","526","Create user","LMS service","Sun Jun 22 10:54:16 GMT 2025","passed","Sun Jun 22 10:54:16 GMT 2025","Create entity","Users","",""
"","25","Delete file","LMS service","Sun Jun 22 10:54:16 GMT 2025","passed","Sun Jun 22 10:54:16 GMT 2025","Delete entity","Files","",""
"","293","Create exercise","LMS service","Sun Jun 22 10:54:10 GMT 2025","passed","Sun Jun 22 10:54:11 GMT 2025","Create entity","Exercises","",""
"","11","Get user me","LMS service","Sun Jun 22 10:54:18 GMT 2025","passed","Sun Jun 22 10:54:18 GMT 2025","Get entity","Users","",""
"","15","Get exercises","LMS service","Sun Jun 22 10:54:13 GMT 2025","passed","Sun Jun 22 10:54:13 GMT 2025","Get entities","Exercises","",""
"","21","Get exercise","LMS service","Sun Jun 22 10:54:12 GMT 2025","passed","Sun Jun 22 10:54:12 GMT 2025","Get entity","Exercises","",""
"","284","Login with correct email and password","LMS service","Sun Jun 22 10:54:08 GMT 2025","passed","Sun Jun 22 10:54:08 GMT 2025","Login","Authentication","",""
